party,per_14,per_19
NULL,0.06%,0.00%
RMGP,0.06%,0.33%
RGD,0.06%,0.04%
NULL,0.06%,0.00%
RTKP,0.06%,0.08%
NEP,0.06%,0.23%
NULL,0.06%,0.00%
NULL,0.06%,0.00%
RPIE,0.06%,0.02%
BSKP,0.06%,0.05%
BSDL,0.05%,0.04%
NULL,0.05%,0.00%
bns,0.05%,0.08%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
NULL,0.05%,0.00%
BPC,0.05%,0.03%
NULL,0.04%,0.00%
LoRP,0.04%,0.04%
PAP,0.04%,0.07%
igp,0.04%,0.03%
NULL,0.04%,0.00%
NULL,0.04%,0.00%
SaVP,0.04%,0.13%
NULL,0.04%,0.00%
NULL,0.04%,0.00%
KCVP,0.04%,0.11%
NULL,0.04%,0.00%
NULL,0.03%,0.00%
NULL,0.03%,0.00%
NULL,0.03%,0.00%
NYP,0.03%,0.02%
NULL,0.03%,0.00%
NULL,0.03%,0.00%
NULL,0.03%,0.00%
NULL,0.03%,0.00%
NNP,0.03%,0.24%
NULL,0.03%,0.00%
NULL,0.03%,0.00%
PSJP,0.03%,0.11%
NULL,0.03%,0.00%
NULL,0.03%,0.00%
MKUP,0.02%,0.04%
bjdi,0.02%,0.02%
SVPP,0.02%,0.19%
NULL,0.02%,0.00%
NULL,0.02%,0.00%
NULL,0.02%,0.00%
NULL,0.02%,0.00%
NULL,0.02%,0.00%
PPIS,0.02%,0.11%
NULL,0.02%,0.00%
RJAVP,0.02%,0.03%
VSP,0.02%,0.17%
NULL,0.02%,0.00%
RaJPa,0.01%,0.10%
NULL,0.01%,0.00%
NDPP,41.24%,0.00%
YSRCP,39.43%,23.68%
AJSUP,39.30%,3.55%
DMK,39.19%,19.69%
SKM,38.45%,32.89%
SDF,35.59%,44.15%
NPF,35.57%,47.31%
KEC(M),34.89%,36.52%
RLTP,34.14%,0.00%
TDP,31.76%,30.60%
BJD,31.31%,0.00%
BJP,31.18%,26.24%
LJP,30.45%,20.05%
ADAL,29.13%,0.00%
AIUDF,28.71%,9.12%
MNF,28.30%,0.00%
RLD,28.26%,4.43%
JD(S),28.06%,6.75%
AGP,28.05%,3.47%
BVA,26.07%,18.61%
TRS,25.91%,23.91%
AINRC,25.47%,28.38%
BOPF,25.15%,10.93%
ADMK,24.76%,32.33%
AITC,24.65%,11.52%
SAD,23.34%,24.01%
